App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
jenkins;ApiTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Api.java;313;23;4;0;1;0;6;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0
jenkins;AutoCompletionCandidatesTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\AutoCompletionCandidates.java;65;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
jenkins;BuildAuthorizationTokenTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\BuildAuthorizationToken.java;120;10;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;BuildExecutionTest;;69;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;CauseTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Cause.java;320;15;7;0;2;0;2;0;0;2;6;0;0;0;4;1;0;2;1;0;0;0;0
jenkins;ComputerConfigDotXmlTest;;300;20;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0
jenkins;ComputerSetTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\ComputerSet.java;183;8;10;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
jenkins;ComputerTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Computer.java;314;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;DependencyGraphTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\DependencyGraph.java;186;6;6;1;0;0;0;0;0;7;1;0;0;0;0;2;0;0;0;1;0;0;0
jenkins;DescriptorTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Descriptor.java;253;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;DescriptorVisibilityFilterTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\DescriptorVisibilityFilter.java;127;7;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;DirectlyModifiableViewTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\DirectlyModifiableView.java;203;8;23;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;13;0;0;0;0
jenkins;DirectoryBrowserSupportTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\DirectoryBrowserSupport.java;1526;33;69;0;7;0;2;0;0;11;13;0;0;0;0;9;0;7;15;3;0;1;0
jenkins;DisplayNameTest;;109;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;DownloadService2Test;;67;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
jenkins;DownloadServiceTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\DownloadService.java;113;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
jenkins;EnvironmentContributorTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\EnvironmentContributor.java;41;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;ExecutorTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Executor.java;230;11;2;0;0;1;0;0;0;2;1;0;0;0;1;1;0;0;0;0;0;2;2
jenkins;FileParameterValuePersistenceTest;;81;6;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0
jenkins;FileParameterValueSecurity3073Test;;81;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
jenkins;FileParameterValueTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\FileParameterValue.java;423;15;19;7;10;0;0;0;0;3;3;0;0;0;0;4;0;10;4;1;0;0;2
jenkins;FingerprintCleanupThreadTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\FingerprintCleanupThread.java;356;22;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;16
jenkins;FingerprintTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Fingerprint.java;686;37;16;19;6;0;3;0;0;17;1;0;0;0;4;2;0;3;4;9;0;0;22
jenkins;FreestyleJobPublisherTest;;96;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
jenkins;FreeStyleProjectTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\FreeStyleProject.java;297;14;14;0;1;0;1;0;0;13;5;0;0;0;0;1;0;1;2;2;0;3;0
jenkins;HelpLinkTest;;150;9;0;0;0;0;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
jenkins;HudsonTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Hudson.java;220;11;10;0;0;0;1;0;0;10;1;0;0;0;0;0;0;0;0;0;0;1;0
jenkins;ItemGroupMixInTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\ItemGroupMixIn.java;311;14;4;0;1;0;0;0;0;4;1;0;0;0;0;1;0;1;0;0;0;0;1
jenkins;ItemsTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Items.java;326;14;5;0;1;0;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
jenkins;JobPropertyTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\JobProperty.java;157;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;JobQueueTest;;119;6;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
jenkins;JobTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Job.java;579;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;LabelLoadStatisticsQueueLengthTest;;237;13;0;0;0;0;0;0;0;11;0;0;0;0;0;2;0;0;0;0;0;0;0
jenkins;DescriptorImpl;;72;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;LabelAtomSecurity1986Test;;179;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;LabelAtomTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\labels\LabelAtom.java;135;8;22;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;0;0;0;4
jenkins;LabelBenchmarkTest;;82;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;LabelExpressionTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\labels\LabelExpression.java;382;31;16;0;0;1;4;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;1
jenkins;ItemListenerTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\listeners\ItemListener.java;95;5;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
jenkins;ListViewTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\ListView.java;442;23;26;15;0;0;1;0;0;4;0;0;0;0;0;0;0;0;6;1;0;0;28
jenkins;ManagementLinkTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\ManagementLink.java;91;4;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;MyViewsPropertyTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\MyViewsProperty.java;315;14;0;13;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;5;0;0;6
jenkins;MyViewTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\MyView.java;118;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
jenkins;NodeListenerImpl;;483;3;0;0;0;0;0;1;0;17;0;0;0;0;6;2;0;0;0;0;0;0;0
jenkins;ParametersAction2Test;;367;15;0;0;0;0;0;0;0;14;0;0;0;0;0;3;0;1;0;0;0;0;0
jenkins;ParametersDefinitionPropertyTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\ParametersDefinitionProperty.java;126;6;1;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1
jenkins;ParametersTest;;302;12;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
jenkins;PasswordParameterDefinitionTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\PasswordParameterDefinition.java;111;3;3;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;1
jenkins;PeriodicWorkTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\PeriodicWork.java;52;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;ProjectTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Project.java;1051;55;5;2;1;4;0;0;0;20;14;0;0;1;0;2;0;1;0;6;0;0;28
jenkins;BuildKeepsRunningWhenFaultySubTasksTest;;143;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
jenkins;LoadPredictorImpl;;124;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;MaintainCanTakeStrengtheningTest;;77;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;QueueTaskDispatcherTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\queue\QueueTaskDispatcher.java;99;6;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
jenkins;Contributor;;104;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;QueueCrashTest;;72;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
jenkins;QueueRestartTest;;94;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
jenkins;QueueTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Queue.java;1303;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;RSSTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\RSS.java;572;53;2;0;0;0;16;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0
jenkins;RunActionTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\RunAction.java;71;3;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
jenkins;RunMapTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\RunMap.java;213;11;37;0;0;0;0;0;0;16;3;0;0;0;0;2;0;0;2;0;0;0;0
jenkins;RunParameterDefinitionTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\RunParameterDefinition.java;296;11;14;8;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;6
jenkins;RunTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Run.java;279;12;4;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;8
jenkins;Security3349Test;;80;3;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0
jenkins;SimpleJobTest;;111;8;0;0;0;0;0;0;0;13;0;0;0;0;0;1;0;0;0;0;0;0;0
jenkins;SlaveTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\Slave.java;251;12;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
